SCOTLAND INTERNATIONAL FOOTBALLERS (1+ CAPS) WITH FIRST CAP AFTER NOVEMBER 5, 1995
Total: 232 players
================================================================================

  1. Brian O'Neil              |   7 caps |  0 goals | First: March 27, 1996  vs Australia       | Last: August 17, 2005 vs Austria
  2. Billy Dodds               |  26 caps |  7 goals | First: October 05, 1996 vs Latvia          | Last: September 05, 2001 vs Belgium
  3. Jackie McNamara           |  33 caps |  0 goals | First: October 05, 1996 vs Latvia          | Last: September 07, 2005 vs Norway
  4. Christian Dailly          |  67 caps |  6 goals | First: May 27, 1997    vs Wales           | Last: May 30, 2008    vs Czech Republic
  5. Simon Donnelly            |  10 caps |  0 goals | First: May 27, 1997    vs Wales           | Last: October 14, 1998 vs Faroe Islands
  6. Neil Sullivan             |  28 caps |  0 goals | First: May 27, 1997    vs Wales           | Last: February 12, 2003 vs Republic of Ireland
  7. David Weir                |  69 caps |  1 goals | First: May 27, 1997    vs Wales           | Last: October 12, 2010 vs Spain
  8. Brian McAllister          |   3 caps |  0 goals | First: May 27, 1997    vs Wales           | Last: June 08, 1997   vs Belarus
  9. David Hopkin              |   7 caps |  2 goals | First: June 01, 1997   vs Malta           | Last: October 05, 1999 vs Bosnia and Herzegovina
 10. Matt Elliott              |  18 caps |  1 goals | First: November 12, 1997 vs France          | Last: October 06, 2001 vs Latvia
 11. Callum Davidson           |  19 caps |  0 goals | First: September 05, 1998 vs Lithuania       | Last: September 05, 2009 vs Macedonia
 12. Barry Ferguson            |  45 caps |  3 goals | First: September 05, 1998 vs Lithuania       | Last: March 28, 2009  vs Netherlands
 13. Neil McCann               |  26 caps |  3 goals | First: September 05, 1998 vs Lithuania       | Last: November 12, 2005 vs United States
 14. Allan Johnston            |  18 caps |  2 goals | First: October 10, 1998 vs Estonia         | Last: September 07, 2002 vs Faroe Islands
 15. Stephen Glass             |   1 caps |  0 goals | First: October 14, 1998 vs Faroe Islands   | Last: October 14, 1998 vs Faroe Islands
 16. Don Hutchison             |  26 caps |  6 goals | First: March 31, 1999  vs Czech Republic  | Last: November 15, 2003 vs Netherlands
 17. Colin Cameron             |  28 caps |  2 goals | First: April 28, 1999  vs Germany         | Last: October 13, 2004 vs Moldova
 18. Paul Ritchie              |   7 caps |  1 goals | First: April 28, 1999  vs Germany         | Last: February 18, 2004 vs Wales
 19. Robbie Winters            |   1 caps |  0 goals | First: April 28, 1999  vs Germany         | Last: April 28, 1999  vs Germany
 20. Mark Burchill             |   6 caps |  0 goals | First: October 05, 1999 vs Bosnia and Herzegovina | Last: April 26, 2000  vs Netherlands
 21. Gary McSwegan[note 10]    |   2 caps |  1 goals | First: October 05, 1999 vs Bosnia and Herzegovina | Last: October 09, 1999 vs Lithuania
 22. Jonathan Gould            |   2 caps |  0 goals | First: October 09, 1999 vs Lithuania       | Last: November 15, 2000 vs Australia
 23. Steven Pressley           |  32 caps |  0 goals | First: March 29, 2000  vs France          | Last: October 11, 2006 vs Ukraine
 24. Paul Telfer               |   1 caps |  0 goals | First: March 29, 2000  vs France          | Last: March 29, 2000  vs France
 25. Gary Naysmith             |  46 caps |  1 goals | First: May 30, 2000    vs Republic of Ireland | Last: April 01, 2009  vs Iceland
 26. Gary Holt                 |  10 caps |  1 goals | First: September 02, 2000 vs Latvia          | Last: October 13, 2004 vs Moldova
 27. Paul Dickov               |  10 caps |  1 goals | First: October 07, 2000 vs San Marino      | Last: October 09, 2004 vs Norway
 28. Dominic Matteo            |   6 caps |  0 goals | First: November 15, 2000 vs Australia       | Last: March 27, 2002  vs France
 29. Steven Caldwell           |  12 caps |  0 goals | First: April 25, 2001  vs Poland          | Last: February 09, 2011 vs Northern Ireland
 30. Kenny Miller              |  69 caps | 18 goals | First: April 25, 2001  vs Poland          | Last: August 14, 2013 vs England
 31. Gavin Rae                 |  14 caps |  0 goals | First: April 25, 2001  vs Poland          | Last: April 01, 2009  vs Iceland
 32. Barry Nicholson           |   3 caps |  0 goals | First: April 25, 2001  vs Poland          | Last: November 17, 2004 vs Sweden
 33. Andy McLaren              |   1 caps |  0 goals | First: April 25, 2001  vs Poland          | Last: April 25, 2001  vs Poland
 34. Charlie Miller            |   1 caps |  0 goals | First: April 25, 2001  vs Poland          | Last: April 25, 2001  vs Poland
 35. John O'Neil               |   1 caps |  0 goals | First: April 25, 2001  vs Poland          | Last: April 25, 2001  vs Poland
 36. Scott Severin             |  15 caps |  0 goals | First: October 06, 2001 vs Latvia          | Last: September 06, 2006 vs Lithuania
 37. Dougie Freedman           |   2 caps |  1 goals | First: October 06, 2001 vs Latvia          | Last: March 27, 2002  vs France
 38. Gary Caldwell             |  55 caps |  2 goals | First: March 27, 2002  vs France          | Last: March 26, 2013  vs Serbia
 39. Stephen Crainey           |  12 caps |  0 goals | First: March 27, 2002  vs France          | Last: November 11, 2011 vs Cyprus
 40. Steven Thompson           |  16 caps |  3 goals | First: March 27, 2002  vs France          | Last: October 13, 2004 vs Moldova
